@relation InstanceResultListener

@attribute Key_Dataset {car}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {''}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

car,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,150,21,0,87.719298,12.280702,0,0.717311,0.106887,0.220496,46.296798,64.962857,206.73301,77.097774,129.635236,1.208965,0.450864,0.758101,126.046969,0.737117,10336.5735,0.97479,116,0.173077,9,0.826923,43,0.02521,3,0.928,0.97479,0.95082,0.983193,0.877193,0.141179,0.858821,0.122807,0.884732,0.877193,0.864248,0.979431,0.003,0.001,0,0,4773,133170,17145,?
car,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,136,35,0,79.532164,20.467836,0,0.530625,0.119953,0.238052,51.956492,70.135304,206.73301,87.165073,119.567937,1.208965,0.509737,0.699228,115.091898,0.673052,9438.194917,0.915966,109,0.288462,15,0.711538,37,0.084034,10,0.879032,0.915966,0.897119,0.953943,0.795322,0.235298,0.764702,0.204678,0.771214,0.795322,0.779599,0.946149,0.002,0.002,0,0,4773,133170,17145,?
car,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,145,26,0,84.795322,15.204678,0,0.656467,0.118338,0.229321,51.255036,67.560586,206.836811,84.450001,122.38681,1.209572,0.49386,0.715712,117.748038,0.688585,9656.496308,0.94958,113,0.173077,9,0.826923,43,0.05042,6,0.92623,0.94958,0.937759,0.989981,0.847953,0.148303,0.851697,0.152047,0.850027,0.847953,0.837035,0.98041,0.001,0.002,0.015625,0,4773,133170,17145,?
car,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,141,30,0,82.45614,17.54386,0,0.608307,0.122968,0.237483,53.150821,69.803038,209.272262,88.03505,121.237213,1.223814,0.514825,0.70899,116.15073,0.679244,9537.935532,0.92437,110,0.211538,11,0.788462,41,0.07563,9,0.909091,0.92437,0.916667,0.96671,0.824561,0.177536,0.822464,0.175439,0.834202,0.824561,0.81706,0.961851,0.002,0.002,0.015625,0,4773,133170,17145,?
car,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,147,24,0,85.964912,14.035088,0,0.679475,0.108657,0.22198,46.965126,65.24607,209.272262,79.315338,129.956925,1.223814,0.463832,0.759982,126.612303,0.740423,10397.007235,0.97479,116,0.173077,9,0.826923,43,0.02521,3,0.928,0.97479,0.95082,0.990142,0.859649,0.142666,0.857334,0.140351,0.857205,0.859649,0.848607,0.981932,0.002,0.002,0,0.015625,4773,133170,17145,?
car,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,149,22,0,87.134503,12.865497,0,0.717589,0.109208,0.221256,47.203446,65.033299,209.272262,79.450236,129.822026,1.223814,0.464621,0.759193,126.758459,0.741278,10409.0091,0.94958,113,0.115385,6,0.884615,46,0.05042,6,0.94958,0.94958,0.94958,0.983193,0.871345,0.104188,0.895812,0.128655,0.879402,0.871345,0.865478,0.977696,0.002,0.002,0,0.015625,4773,133170,17145,?
car,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1536,171,147,24,0,85.964912,14.035088,0,0.693777,0.125677,0.240013,54.321563,70.546521,209.272262,91.270803,118.001459,1.223814,0.533747,0.690067,112.056686,0.655302,9201.745381,0.94958,113,0.096154,5,0.903846,47,0.05042,6,0.957627,0.94958,0.953586,0.981577,0.859649,0.092975,0.907025,0.140351,0.85029,0.859649,0.850701,0.971397,0.002,0.002,0,0,4773,133170,17145,?
car,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,149,21,0,87.647059,12.352941,0,0.719538,0.117802,0.229106,51.206363,67.771147,204.579912,84.878823,119.70109,1.203411,0.499287,0.704124,115.030645,0.676651,9428.490282,0.966387,115,0.156863,8,0.843137,43,0.033613,4,0.934959,0.966387,0.950413,0.984676,0.876471,0.128937,0.871063,0.123529,0.870837,0.876471,0.871065,0.976146,0.001,0.002,0,0,4773,133255,17060,?
car,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,146,24,0,85.882353,14.117647,0,0.677419,0.111997,0.22384,48.683225,66.213353,204.579912,80.029453,124.550459,1.203411,0.470761,0.73265,120.735444,0.710208,9896.084268,0.957983,114,0.196078,10,0.803922,41,0.042017,5,0.919355,0.957983,0.938272,0.985335,0.858824,0.158081,0.841919,0.141176,0.852372,0.858824,0.85294,0.977288,0.001,0.002,0,0.015625,4773,133255,17060,?
car,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20151120.2136,1537,170,146,24,0,85.882353,14.117647,0,0.67836,0.110425,0.222721,47.744361,65.487056,206.209367,78.249198,127.960169,1.212996,0.460289,0.752707,124.371443,0.731597,10202.947865,0.957627,113,0.192308,10,0.807692,42,0.042373,5,0.918699,0.957627,0.937759,0.986473,0.858824,0.158001,0.841999,0.141176,0.827699,0.858824,0.841417,0.981663,0.001,0.001,0,0,4773,133255,17060,?
