Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
car,1,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,150.0,21.0,0.0,87.71929824561404,12.280701754385966,0.0,0.7173108714476893,0.10688663697790295,0.2204955758226435,46.296797562026654,64.96285710071048,206.73300976330376,77.09777408759167,129.63523567571207,1.2089649693760454,0.4508641759508285,0.7581007934252167,126.04696948650498,0.7371167806228361,10336.57350045591,0.9747899159663865,116.0,0.17307692307692307,9.0,0.8269230769230769,43.0,0.025210084033613446,3.0,0.928,0.9747899159663865,0.9508196721311476,0.9831932773109243,0.8771929824561403,0.14117899644215434,0.8588210035578456,0.12280701754385964,0.8847318295739348,0.8771929824561403,0.8642481279093301,0.9794310239753116,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,1,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,136.0,35.0,0.0,79.53216374269006,20.46783625730994,0.0,0.5306250490157635,0.11995332248743462,0.23805178681700648,51.95649189749833,70.13530385752927,206.73300976330376,87.16507284929195,119.56793691401181,1.2089649693760454,0.5097372681245143,0.699227701251531,115.09189836320573,0.6730520372117295,9438.194917218108,0.9159663865546218,109.0,0.28846153846153844,15.0,0.7115384615384616,37.0,0.08403361344537816,10.0,0.8790322580645161,0.9159663865546218,0.8971193415637859,0.9539431157078216,0.7953216374269005,0.23529832740359052,0.7647016725964095,0.2046783625730994,0.7712138361544134,0.7953216374269005,0.7795989386757918,0.9461487758663626,0.001,0.001,0.0,0.0,4773.0,133170.0,17145.0,?
car,1,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,145.0,26.0,0.0,84.7953216374269,15.2046783625731,0.0,0.6564673157162726,0.11833774542320095,0.22932113016150285,51.25503598642391,67.56058579036356,206.83681145592143,84.45000105794854,122.3868103979729,1.2095719968182541,0.4938596553096406,0.7157123415086134,117.74803848665128,0.6885850203897735,9656.496308398619,0.9495798319327731,113.0,0.17307692307692307,9.0,0.8269230769230769,43.0,0.05042016806722689,6.0,0.9262295081967213,0.9495798319327731,0.9377593360995851,0.9899806076276665,0.847953216374269,0.14830286672391935,0.8516971332760805,0.15204678362573099,0.8500271626242291,0.847953216374269,0.8370353423130595,0.9804096060835471,0.0,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,1,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,141.0,30.0,0.0,82.45614035087719,17.54385964912281,0.0,0.6083072459341834,0.12296804026562143,0.23748343110446601,53.15082145168906,69.80303827714715,209.27226247128024,88.0350495457096,121.23721292557065,1.2238144004168434,0.5148248511445006,0.7089895492723429,116.15073004935306,0.6792440353763337,9537.935531944922,0.9243697478991597,110.0,0.21153846153846154,11.0,0.7884615384615384,41.0,0.07563025210084033,9.0,0.9090909090909091,0.9243697478991597,0.9166666666666667,0.9667097608274079,0.8245614035087719,0.17753577188750488,0.8224642281124951,0.17543859649122806,0.834201665780613,0.8245614035087719,0.8170604445070734,0.9618512807148708,0.001,0.002,0.0,0.015625,4773.0,133170.0,17145.0,?
car,1,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,147.0,24.0,0.0,85.96491228070175,14.035087719298245,0.0,0.6794751640112465,0.10865701225951808,0.22197974550764704,46.96512561804426,65.24607043261756,209.27226247128024,79.31533795207105,129.9569245192092,1.2238144004168434,0.463832385684626,0.7599820147322175,126.61230269534362,0.7404228227797872,10397.007234876264,0.9747899159663865,116.0,0.17307692307692307,9.0,0.8269230769230769,43.0,0.025210084033613446,3.0,0.928,0.9747899159663865,0.9508196721311476,0.9901422107304461,0.8596491228070176,0.14266552873741578,0.8573344712625842,0.14035087719298245,0.8572046783625731,0.8596491228070176,0.8486070113910206,0.9819322177270964,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,1,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,149.0,22.0,0.0,87.13450292397661,12.865497076023392,0.0,0.717588769611891,0.10920838312067077,0.2212558544618965,47.203446194118236,65.03329855990202,209.27226247128024,79.45023617532881,129.82202629595145,1.2238144004168434,0.4646212641832094,0.7591931362336342,126.75845857631472,0.7412775355340042,10409.00909977823,0.9495798319327731,113.0,0.11538461538461539,6.0,0.8846153846153846,46.0,0.05042016806722689,6.0,0.9495798319327731,0.9495798319327731,0.9495798319327731,0.9831932773109243,0.8713450292397661,0.10418792447033784,0.8958120755296621,0.1286549707602339,0.8794022092267706,0.8713450292397661,0.8654775045601509,0.9776964340676252,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,1,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1536.0,171.0,147.0,24.0,0.0,85.96491228070175,14.035087719298245,0.0,0.693777048201761,0.12567662971309704,0.24001290322548183,54.32156267678894,70.54652104755809,209.27226247128024,91.2708029974307,118.00145947384954,1.2238144004168434,0.5337473859498871,0.6900670144669564,112.05668566051648,0.6553022553246578,9201.745381189501,0.9495798319327731,113.0,0.09615384615384616,5.0,0.9038461538461539,47.0,0.05042016806722689,6.0,0.9576271186440678,0.9495798319327731,0.9535864978902954,0.9815772462831286,0.8596491228070176,0.09297516775052077,0.907024832249479,0.14035087719298245,0.8502903865739844,0.8596491228070176,0.8507009756843201,0.9713965553098045,0.001,0.002,0.0,0.0,4773.0,133170.0,17145.0,?
car,1,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,149.0,21.0,0.0,87.6470588235294,12.352941176470589,0.0,0.7195380626914919,0.1178018041197013,0.22910618814164413,51.20636272792435,67.7711467984174,204.5799124661086,84.87882253701684,119.70108992909175,1.2034112498006388,0.49928719139421673,0.7041240584064221,115.03064505587022,0.6766508532698249,9428.490282032177,0.9663865546218487,115.0,0.1568627450980392,8.0,0.8431372549019608,43.0,0.03361344537815126,4.0,0.9349593495934959,0.9663865546218487,0.9504132231404958,0.9846762234305487,0.8764705882352941,0.12893660531697343,0.8710633946830265,0.12352941176470589,0.8708365522569251,0.8764705882352941,0.8710646572678657,0.9761459997087036,0.001,0.002,0.0,0.0,4773.0,133255.0,17060.0,?
car,1,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,146.0,24.0,0.0,85.88235294117646,14.117647058823529,0.0,0.6774193548387095,0.11199724962701234,0.22383993187493934,48.68322545470729,66.21335288013056,204.5799124661086,80.02945314349265,124.55045932261595,1.2034112498006388,0.4707614890793685,0.7326497607212703,120.73544362579005,0.7102084919164121,9896.084268411332,0.957983193277311,114.0,0.19607843137254902,10.0,0.803921568627451,41.0,0.04201680672268908,5.0,0.9193548387096774,0.957983193277311,0.9382716049382716,0.9853353105948262,0.8588235294117647,0.15808099034371137,0.8419190096562886,0.1411764705882353,0.8523719165085387,0.8588235294117647,0.852939856077111,0.9772884394071266,0.001,0.002,0.0,0.0,4773.0,133255.0,17060.0,?
car,1,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,2.01511202141E7,1537.0,170.0,146.0,24.0,0.0,85.88235294117646,14.117647058823529,0.0,0.6783602680331099,0.11042512403246436,0.22272081693341336,47.74436122229873,65.48705592841395,206.2093665175135,78.24919790475145,127.96016861276205,1.2129962736324325,0.4602893994397144,0.7527068741927179,124.37144278937427,0.7315967222904369,10202.9478647893,0.9576271186440678,113.0,0.19230769230769232,10.0,0.8076923076923077,42.0,0.0423728813559322,5.0,0.9186991869918699,0.9576271186440678,0.9377593360995852,0.9864732724902217,0.8588235294117647,0.1580014507270906,0.8419985492729094,0.1411764705882353,0.8276989979202117,0.8588235294117647,0.841417455961233,0.9816631705432121,0.001,0.002,0.0,0.0,4773.0,133255.0,17060.0,?
